 1. Chicago Bears	16	41	20	24	9	277	213.4	101.9	2	0	143.0	8.9
 2. Denver Broncos	16	52	8	16	6	289	199.7	91.1	1	2	126.0	7.9
 3. New England Patriots	16	36	21	20	5	331	271.6	102.1	1	2	121.0	7.6
 4. San Diego Chargers	16	38	14	14	7	350	230.1	96.7	0	2	120.0	7.5
 5. Tennessee Titans	16	39	5	19	5	471	247.3	127.3	0	4	117.0	7.3
 6. Cincinnati Bengals	16	51	16	14	3	320	211.9	107.9	0	1	105.0	6.6
 7. St. Louis Rams	16	51	4	17	5	348	228.8	116.4	0	0	102.0	6.4
 8. Minnesota Vikings	16	44	12	10	3	348	244.3	105.8	0	2	96.0	6.0
 9. Baltimore Ravens	16	37	12	13	2	344	228.5	122.4	1	3	94.0	5.9
 10. Seattle Seahawks	16	37	13	18	3	245	202.7	103.1	0	1	92.0	5.8
 11. New York Jets	16	30	12	11	3	375	189.8	133.5	1	3	91.0	5.7
 12. Arizona Cardinals	16	38	11	22	3	357	200.1	139.1	1	0	91.0	5.7
 13. Houston Texans	16	44	14	15	3	331	225.6	97.9	0	0	91.0	5.7
 14. Green Bay Packers	16	47	5	18	2	336	218.3	118.5	0	1	88.0	5.5
 15. Washington Redskins	16	32	10	21	4	388	281.9	95.8	0	0	87.0	5.4
 16. New York Giants	16	33	14	21	2	344	254.3	129.1	0	1	86.0	5.4
 17. Cleveland Browns	16	38	12	17	2	368	245.2	118.6	0	1	85.0	5.3
 18. Indianapolis Colts	16	32	3	12	4	387	237.3	137.0	0	2	83.0	5.2
 19. San Francisco 49ers	16	38	11	14	3	273	200.2	94.2	1	0	83.0	5.2
 20. Buffalo Bills	16	37	9	12	1	435	217.1	145.8	0	3	82.0	5.1
 21. Carolina Panthers	16	39	12	11	3	363	223.0	110.1	1	0	82.0	5.1
 22. New Orleans Saints	16	28	11	15	4	454	293.1	147.3	1	0	80.0	5.0
 23. Dallas Cowboys	16	35	9	7	3	400	230.7	124.8	0	1	75.0	4.7
 24. Atlanta Falcons	16	29	11	20	2	299	242.4	123.2	1	0	74.0	4.6
 25. Tampa Bay Buccaneers	16	28	8	18	3	394	296.9	82.9	0	0	72.0	4.5
 26. Miami Dolphins	16	41	6	10	0	317	248.7	108.1	0	2	69.0	4.3
 27. Pittsburgh Steelers	16	37	10	10	1	314	185.2	90.6	0	0	63.0	3.9
 28. Philadelphia Eagles	16	30	5	8	0	444	216.9	126.3	0	1	49.0	3.1
 29. Detroit Lions	16	32	6	11	0	437	223.5	117.7	0	0	49.0	3.1
 30. Kansas City Chiefs	16	27	6	7	1	425	220.8	135.7	0	0	46.0	2.9
 31. Oakland Raiders	16	25	8	11	0	443	235.9	118.7	0	0	44.0	2.8
 32. Jacksonville Jaguars	16	20	11	12	0	444	239.5	140.2	0	0	43.0	2.7
