 1. Stephen Gostkowski	NE	16	29	35	82.9%	66	66	153.0	9.6
 2. Lawrence Tynes	NYG	16	33	39	84.6%	46	46	145.0	9.1
 3. Matt Bryant	ATL	16	33	38	86.8%	44	44	143.0	8.9
 4. Blair Walsh	MIN	16	35	38	92.1%	36	36	141.0	8.8
 5. Shayne Graham	HOU	16	31	38	81.6%	45	45	138.0	8.6
 6. Jason Hanson	DET	16	32	36	88.9%	38	38	134.0	8.4
 7. Matt Prater	DEN	16	26	32	81.3%	55	55	133.0	8.3
 8. Justin Tucker	BAL	16	30	33	90.9%	42	42	132.0	8.3
 9. David Akers	SF	16	29	42	69.0%	44	44	131.0	8.2
 10. Dan Bailey	DAL	16	29	31	93.5%	37	37	124.0	7.8
 11. Connor Barth	TB	15	28	33	84.8%	39	40	123.0	8.2
 12. Steve Hauschka	SEA	16	24	27	88.9%	46	48	118.0	7.4
 13. Sebastian Janikowski	OAK	16	31	34	91.2%	25	25	118.0	7.4
 14. Shaun Suisham	PIT	16	28	31	90.3%	34	34	118.0	7.4
 15. Phil Dawson	CLE	16	29	31	93.5%	29	29	116.0	7.3
 16. Adam Vinatieri	IND	16	26	33	78.8%	37	37	115.0	7.2
 17. Mason Crosby	GB	16	21	33	63.6%	50	50	113.0	7.1
 18. Garrett Hartley	NO	16	18	22	81.8%	57	57	111.0	6.9
 19. Rob Bironas	TEN	16	25	31	80.6%	35	35	110.0	6.9
 20. Alex Henery	PHI	16	27	31	87.1%	25	26	106.0	6.6
 21. Rian Lindell	BUF	16	21	24	87.5%	39	39	102.0	6.4
 22. Ryan Succop	KC	15	28	34	82.4%	17	17	101.0	6.7
 23. Jay Feely	ARI	15	25	28	89.3%	25	25	100.0	6.7
 24. Robbie Gould	CHI	13	21	25	84.0%	33	33	96.0	7.4
 25. Greg Zuerlein	STL	16	23	31	74.2%	26	26	95.0	5.9
 26. Nick Folk	NYJ	15	21	27	77.8%	30	30	93.0	6.2
 27. Josh Scobee	JAC	15	25	28	89.3%	18	19	93.0	6.2
 28. Dan Carpenter	MIA	14	22	27	81.5%	26	26	92.0	6.6
 29. Mike Nugent	CIN	12	19	23	82.6%	35	35	92.0	7.7
 30. Nick Novak	SD	13	18	20	90.0%	33	33	87.0	6.7
 31. Kai Forbath	WAS	11	17	18	94.4%	33	34	84.0	7.6
 32. Graham Gano	CAR	6	9	11	81.8%	20	21	47.0	7.8
 33. Justin Medlock	CAR	10	7	10	70.0%	23	23	44.0	4.4
 34. Josh Brown	CIN	4	11	12	91.7%	8	8	41.0	10.3
 35. Billy Cundiff	WAS	5	7	12	58.3%	17	17	38.0	7.6
 36. Nate Kaeding	SD	5	8	10	80.0%	9	9	33.0	6.6
 37. Olindo Mare	CHI	3	6	8	75.0%	7	7	25.0	8.3
