 1. Adrian Peterson	MIN	16	348	2,097	12	51	40	217	1	309.4	19.3
 2. Arian Foster	HOU	16	351	1,411	15	58	40	217	2	264.8	16.6
 3. Doug Martin	TB	16	319	1,454	11	70	49	472	1	264.6	16.5
 4. Marshawn Lynch	SEA	16	315	1,590	11	30	23	196	1	250.6	15.7
 5. Alfred Morris	WAS	16	335	1,606	13	16	11	77	0	246.3	15.4
 6. Ray Rice	BAL	16	257	1,143	9	83	61	478	1	222.1	13.9
 7. C.J. Spiller	BUF	16	207	1,244	6	57	43	459	2	218.3	13.6
 8. Jamaal Charles	KC	16	284	1,513	5	49	36	236	1	210.9	13.2
 9. Trent Richardson	CLE	15	267	950	11	70	51	367	1	203.7	13.6
 10. Stevan Ridley	NE	16	290	1,263	12	14	6	51	0	203.4	12.7
 11. Frank Gore	SF	16	259	1,212	8	36	28	234	1	198.6	12.4
 12. Chris Johnson	TEN	16	276	1,243	6	49	36	226	0	182.9	11.4
 13. Matt Forte	CHI	15	248	1,094	5	60	44	340	1	179.4	12.0
 14. Reggie Bush	MIA	16	227	986	6	52	35	292	2	175.8	11.0
 15. Shonn Greene	NYJ	16	276	1,063	8	30	19	151	0	169.4	10.6
 16. Ahmad Bradshaw	NYG	14	221	1,015	6	31	23	245	0	162.0	11.6
 17. Steven Jackson	STL	16	257	1,042	4	53	38	321	0	160.3	10.0
 18. Michael Turner	ATL	16	223	803	10	30	19	128	1	159.1	9.9
 19. BenJarvus Green-Ellis	CIN	15	278	1,094	6	30	22	104	0	155.8	10.4
 20. Mikel Leshoure	DET	14	215	798	9	48	34	214	0	155.2	11.1
 21. LeSean McCoy	PHI	12	200	840	2	67	54	373	3	151.3	12.6
 22. Darren Sproles	NO	13	48	244	1	104	75	667	7	139.1	10.7
 23. DeAngelo Williams	CAR	16	173	737	5	20	13	187	2	134.4	8.4
 24. Willis McGahee	DEN	10	167	731	4	33	26	221	0	119.2	11.9
 25. Danny Woodhead	NE	15	76	301	4	55	40	446	3	116.7	7.8
 26. DeMarco Murray	DAL	10	161	663	4	41	34	247	0	115.0	11.5
 27. Vick Ballard	IND	16	211	814	2	27	17	152	1	114.6	7.2
 28. Darren McFadden	OAK	12	216	707	2	63	42	258	1	114.5	9.5
 29. Joique Bell	DET	16	82	414	3	69	52	485	0	107.9	6.7
 30. Ryan Mathews	SD	12	184	707	1	56	39	252	0	101.9	8.5
 31. Felix Jones	DAL	16	111	402	3	37	26	266	2	96.8	6.1
 32. Andre Brown	NYG	9	73	385	8	17	12	86	0	95.1	10.6
 33. Pierre Thomas	NO	15	105	473	1	53	39	354	1	94.7	6.3
 34. Knowshon Moreno	DEN	8	139	528	4	26	21	167	0	93.5	11.7
 35. Mark Ingram	NO	16	156	602	5	10	6	29	0	93.1	5.8
 36. Fred Jackson	BUF	10	115	437	3	42	34	217	1	89.4	8.9
 37. Jacquizz Rodgers	ATL	16	94	362	1	59	53	402	1	88.4	5.5
 38. Mike Tolbert	CAR	16	54	183	7	39	27	268	0	87.1	5.4
 39. Bryce Brown	PHI	16	115	564	4	19	13	56	0	86.0	5.4
 40. Jonathan Dwyer	PIT	13	156	623	2	25	18	106	0	84.9	6.5
 41. Marcel Reece	OAK	15	59	271	0	73	52	496	1	82.7	5.5
 42. Bilal Powell	NYJ	14	110	437	4	36	17	140	0	81.7	5.8
 43. Michael Bush	CHI	13	114	411	5	11	9	83	0	79.4	6.1
 44. Isaac Redman	PIT	14	110	410	2	23	19	244	0	77.4	5.5
 45. Daniel Thomas	MIA	12	91	325	4	22	15	156	0	72.1	6.0
 46. LaRod Stephens-Howling	ARI	14	111	357	4	30	17	106	0	70.3	5.0
 47. David Wilson	NYG	14	71	358	4	9	4	34	1	69.2	4.9
 48. Jackie Battle	SD	14	95	311	3	15	15	108	1	65.9	4.7
 49. Shane Vereen	NE	11	62	251	3	13	8	149	1	64.0	5.8
 50. Bernard Pierce	BAL	15	108	532	1	11	7	47	0	63.9	4.3
