 1. Jimmy Graham	NO	15	135	85	982	9	152.2	10.1
 2. Rob Gronkowski	NE	11	79	55	790	11	145.0	13.2
 3. Tony Gonzalez	ATL	16	124	93	930	8	141.0	8.8
 4. Heath Miller	PIT	15	101	71	816	8	129.6	8.6
 5. Jason Witten	DAL	16	147	110	1,039	3	121.9	7.6
 6. Greg Olsen	CAR	16	104	69	843	5	114.3	7.1
 7. Dennis Pitta	BAL	16	94	61	669	7	108.9	6.8
 8. Owen Daniels	HOU	15	104	62	716	6	107.6	7.2
 9. Brandon Myers	OAK	16	105	79	806	4	104.6	6.5
 10. Jermaine Gresham	CIN	16	94	64	737	5	103.7	6.5
 11. Kyle Rudolph	MIN	16	93	53	493	9	103.3	6.5
 12. Antonio Gates	SD	15	80	49	538	7	95.8	6.4
 13. Scott Chandler	BUF	15	74	43	571	6	93.1	6.2
 14. Martellus Bennett	NYG	16	90	55	626	5	92.6	5.8
 15. Vernon Davis	SF	15	61	41	548	5	84.8	5.7
 16. Aaron Hernandez	NE	10	83	51	483	5	78.8	7.9
 17. Jermichael Finley	GB	16	86	61	667	2	78.7	4.9
 18. Marcedes Lewis	JAC	15	77	52	540	4	78.0	5.2
 19. Jared Cook	TEN	13	72	44	523	4	76.3	5.9
 20. Lance Kendricks	STL	16	64	42	519	4	75.9	4.7
 21. Brandon Pettigrew	DET	13	102	59	565	3	74.5	5.7
 22. Brent Celek	PHI	15	88	57	684	1	74.4	5.0
 23. Dwayne Allen	IND	15	66	45	521	3	70.6	4.7
 24. Ben Watson	CLE	16	82	49	501	3	68.1	4.3
 25. Dallas Clark	TB	16	75	47	435	4	67.5	4.2
 26. Jacob Tamme	DEN	15	85	52	555	2	67.5	4.5
 27. Joel Dreessen	DEN	16	58	41	356	5	65.6	4.1
 28. Anthony Fasano	MIA	16	69	41	332	5	63.2	4.0
 29. Zach Miller	SEA	16	53	38	396	3	57.6	3.6
 30. Tony Scheffler	DET	15	85	42	504	1	56.4	3.8
 31. Jeff Cumberland	NYJ	14	53	29	359	3	53.9	3.9
 32. Delanie Walker	SF	15	39	21	339	3	51.9	3.5
 33. James Casey	HOU	16	45	34	330	3	51.6	3.2
 34. Tony Moeaki	KC	14	56	33	453	1	51.3	3.7
 35. Anthony McCoy	SEA	14	28	18	291	3	47.1	3.4
 36. Garrett Graham	HOU	13	39	28	263	3	44.3	3.4
 37. Dustin Keller	NYJ	8	36	28	317	2	43.7	5.5
 38. Robert Housler	ARI	13	68	45	417	0	41.7	3.2
 39. Coby Fleener	IND	12	48	26	281	2	40.1	3.3
 40. Tom Crabtree	GB	8	12	8	203	3	38.3	4.8
 41. Logan Paulsen	WAS	13	38	25	308	1	36.8	2.8
 42. Kellen Davis	CHI	14	44	19	229	2	34.9	2.5
 43. Craig Stevens	TEN	14	33	23	275	1	33.5	2.4
 44. Fred Davis	WAS	7	31	24	325	0	32.6	4.7
 45. David Thomas	NO	7	17	11	86	4	32.6	4.7
 46. Clay Harbor	PHI	11	39	25	188	2	30.8	2.8
 47. Jordan Cameron	CLE	13	40	20	226	1	28.6	2.2
 48. Dante Rosario	SD	10	18	10	95	3	27.5	2.8
 49. Ed Dickson	BAL	11	33	21	225	0	22.5	2.0
 50. Luke Stocker	TB	12	27	16	165	1	22.5	1.9
