 1. Calvin Johnson	DET	16	204	122	1,964	5	0	0	0	226.4	14.2
 2. Brandon Marshall	CHI	16	192	118	1,508	11	1	-2	0	216.6	13.5
 3. Dez Bryant	DAL	16	138	92	1,382	12	2	-5	0	209.7	13.1
 4. A.J. Green	CIN	16	164	97	1,350	11	4	38	0	204.8	12.8
 5. Demaryius Thomas	DEN	16	141	94	1,442	10	0	0	0	204.2	12.8
 6. Vincent Jackson	TB	16	147	72	1,384	8	0	0	0	186.4	11.7
 7. Eric Decker	DEN	16	122	85	1,064	13	0	0	0	184.4	11.5
 8. Andre Johnson	HOU	16	162	112	1,598	4	0	0	0	183.8	11.5
 9. Julio Jones	ATL	16	128	79	1,198	10	6	30	0	182.8	11.4
 10. Roddy White	ATL	16	143	92	1,351	7	0	0	0	177.1	11.1
 11. Marques Colston	NO	16	130	83	1,154	10	0	0	0	175.4	11.0
 12. Wes Welker	NE	16	175	118	1,354	6	2	20	0	173.4	10.8
 13. Victor Cruz	NYG	16	143	86	1,092	10	0	0	0	169.2	10.6
 14. Reggie Wayne	IND	16	195	106	1,355	5	1	-5	0	165.0	10.3
 15. Michael Crabtree	SF	16	127	85	1,105	9	0	0	0	164.5	10.3
 16. James Jones	GB	15	98	64	784	14	0	0	0	162.4	10.8
 17. Randall Cobb	GB	15	104	80	954	8	10	132	0	156.6	10.4
 18. Mike Williams	TB	16	126	63	996	9	0	0	0	153.6	9.6
 19. Steve Smith	CAR	16	138	73	1,174	4	3	27	0	144.1	9.0
 20. Steve Johnson	BUF	16	148	79	1,046	6	0	0	0	140.6	8.8
 21. Lance Moore	NO	15	104	65	1,041	6	0	0	0	140.1	9.3
 22. Cecil Shorts	JAC	14	105	55	979	7	1	-4	0	139.5	10.0
 23. Torrey Smith	BAL	16	110	49	855	8	3	9	0	134.4	8.4
 24. Mike Wallace	PIT	15	119	64	838	8	5	7	0	132.5	8.8
 25. T.Y. Hilton	IND	15	90	50	861	7	5	29	0	131.0	8.7
 26. Miles Austin	DAL	16	119	66	943	6	0	0	0	130.3	8.1
 27. Jeremy Maclin	PHI	15	122	69	857	7	0	0	0	127.7	8.5
 28. Justin Blackmon	JAC	16	132	64	865	5	2	23	0	118.8	7.4
 29. Sidney Rice	SEA	16	82	50	748	7	2	6	0	117.4	7.3
 30. Jordy Nelson	GB	12	73	49	745	7	0	0	0	116.5	9.7
 31. Anquan Boldin	BAL	15	112	65	921	4	1	3	0	116.4	7.8
 32. Denarius Moore	OAK	15	114	51	741	7	1	-5	0	115.6	7.7
 33. Brandon Lloyd	NE	16	131	74	911	4	0	0	0	115.1	7.2
 34. Brian Hartline	MIA	15	131	74	1,083	1	0	0	0	114.3	7.6
 35. Golden Tate	SEA	15	67	45	688	7	3	20	0	112.8	7.5
 36. Malcom Floyd	SD	14	85	56	814	5	0	0	0	111.4	8.0
 37. Antonio Brown	PIT	13	106	66	787	5	7	24	0	111.1	8.5
 38. Josh Gordon	CLE	16	92	50	805	5	0	0	0	110.5	6.9
 39. Andre Roberts	ARI	15	114	64	759	5	4	29	0	108.8	7.3
 40. Danario Alexander	SD	10	62	37	658	7	0	0	0	107.8	10.8
 41. Santana Moss	WAS	16	62	41	573	8	3	14	0	106.7	6.7
 42. Larry Fitzgerald	ARI	16	156	71	798	4	0	0	0	103.8	6.5
 43. Percy Harvin	MIN	9	85	62	677	3	22	96	1	101.3	11.3
 44. Brandon Gibson	STL	15	82	51	691	5	0	0	0	99.1	6.6
 45. Dwayne Bowe	KC	13	114	59	797	3	0	0	0	97.7	7.5
 46. Donnie Avery	IND	16	124	60	781	3	4	9	0	97.0	6.1
 47. Nate Washington	TEN	16	89	45	729	4	0	0	0	96.9	6.1
 48. Jeremy Kerley	NYJ	16	95	56	827	2	5	8	0	95.5	6.0
 49. Brandon LaFell	CAR	13	76	44	677	4	3	35	0	95.2	7.3
 50. Darrius Heyward-Bey	OAK	15	80	41	606	5	2	16	0	92.2	6.1
