C.J. Spiller
Demaryius Thomas
Alfred Morris
Randall Cobb
Peyton Manning
Colin Kaepernick
David Wilson
Danny Amendola
Stephen Gostkowski
Adrian Peterson
Robert Griffin III
Matt Ryan
Aaron Rodgers
Marshawn Lynch
Lance Moore
A.J. Green
Cam Newton
Ray Rice
Jimmy Graham
Vincent Jackson
Arian Foster
DeAndre Hopkins
Seattle Seahawks
Andy Dalton
Matt Forte
Andre Johnson
Dez Bryant
Jamaal Charles
Josh Gordan
Tony Gonzalez
Andrew Luck
Doug Martin
Larry Fitzgerald
Jason Witten
Greg Olsen
Dan Bailey
Heath Miller
Chris Johnson
Steven Jackson
LeSean McCoy
Maurice Jones Drew
Calvin Johnson
Tom Brady
Drew Brees
Brandon Marshall
Stevan Ridley
Darren Sproles
Victor Cruz
Vincent Brown
Russell Wilson
Julio Jones
Torrey Smith
Mike Wallace
Antonio Brown
Matthew Stafford
Josh Freeman
Trent Richardson
Reggie Bush
Michael Vick
Cecil Shorts
James Jones
Joe Flacco
Wes Welker
Steve Johnson
Rob Gronkowski
Darren McFadden
Kyle Rudolph
Owen Daniels
Eli Manning
Vernon Davis
Jordy Nelson
Jermichael Finley
Miles Austin
Sebastian Janikowski
Denver Broncos
Steve Smith
Sidney Rice
Fred Davis
Steve Smith
Shane Vareen
Le'Von Bell
Lamar Miller
Sidney Rice
Frank Gore
Ahmad Bradshaw
DeSean Jackson
Chris Ivory
Tim Tebow
Greg Jennings
Denarius Moore
Demarco Murray
Ryan Mathews
Fred Jackson
Danny Woodhead
Mark Ingram
T.Y. Hilton
Anquan Boldin
Antonio Gates
Montee Ball
Jermaine Gresham
Ryan Matthews
Ben Roethlisberger
Ben Tate
Fred Jackson
Danny Woodhead
Mark Ingram
T.Y. Hilton
Patriots
Anquan Bolden
Antonio Gates
Andre Brown
Mike Williams
Justin Blackmon
Matt Schaub
Ryan Brolyes
DeAngelo Williams
Emanual Sanders
Brandon LaFell
Andre Roberts
49ers
Chris Givens
Kenny Britt
Tyler Eifert
Lawrence Tynes
